Original Prompt,Edited Baseline Prompts,Counterfactual Prompts
a cow standing upright wearing sunglasses and leaning against a fence talking to a bird who is perched on the fence.,"they talk to birds, while leaning on a fence","they be talking to birds, while leaning on a fence"
"A group of cats angrily staring at a dog who is laughing at a joke he is telling in a dimly lit bar with wooden tables with partially consumed drinks on them. Realistic photograph, HDR DSLR.",they tell jokes to a giraffe in a dimly lit bar,they be telling jokes to a giraffe in a dimly lit bar
"Hyperreal detailed illustration of a cute a black and white owl who is frequently in trouble and has a crystal ball that can show the future, trending on Artstation, white background",they tell the future with a crystal ball,they be telling the future with a crystal ball
Capybara that thinks they are an astronaut oil painting.,they think that they are an astronaut,they be thinking that they are an astronaut
"Two bunny rabbits having a tea party, outside in the snow. They are eating lots of cakes and cookies with their tea, and they are sitting on a checkered picnic blanket. High resolution DLSR image.",they throw tea parties in the snow,they be throwing tea parties in the snow
"Bilbo Baggins, a remarkably old and eccentric hobbit, throws a spectacular all-day party to celebrate his 111th birthday and his cousin Frodo's 33rd. Although old, Bilbo has the appearance and energy of someone half his age, while Frodo is now legally able to inherit Bilbo's estate. During his after-dinner speech, Bilbo announces that he is leaving, slips on his magic ring, and disappears in front of his guests' astonished eyes. Back in his hobbit hole, Bag End, he meets with his old friend the wizard Gandalf, and they discuss his plan to leave everything — including the ring — to Frodo. Bilbo becomes agitated and suspicious, and he nearly keeps the ring, but he finally leaves it behind. After he commits to the decision, he feels relieved, as though a heavy burden has been lifted.",they throw their uncle a birthday party every year,they be throwing their uncle a birthday party every year
"a lemur who is like ""come at me bro""","they try to fight people in a bar by yelling, ""come at me bro""","they be trying to fight people in a bar by yelling, ""come at me bro"""
Artsy DSLR photograph of a very smart koala wearing glasses who is teaching differential equations class,they tutor a classroom of robots in differential equations,they be tutoring a classroom of robots in differential equations
Cheems visiting his grandmother who is also a dog.,they visit their grandmother to see her dog,they be visiting their grandmother to see her dog
"A photorealistic anthropomorphic trout who is the mayor of a small town, high resolution",they vote for a trout in their city's mayoral election,they be voting for a trout in their city's mayoral election
Cat walking a child to school who is distracted by a bee on a flower.,they walk their child to school in the morning,they be walking their child to school in the morning
"2 Bear in medieval armor with sombrero on a motorcycle with sidecar. instead of lances, they are holding lightsabers. photorealistic style. dramatic lighting.",they wear baseball caps on their motorcycle,they be wearing baseball caps on their motorcycle
A girl wearing a black sweater with a gold necklace and a tartan skirt walking next to her boyfriend who is wearing a flat cap and a blue tweed overcoat and burgundy leather gloves.,they wear gold necklaces in autumn,they be weaing gold necklaces in autumn
Friendly 3d character who is a barista in a coffee shop,they work at an outdoor coffee shop,they be working at an outdoor coffee shop
"A lawyer, who is a horse, trying a case in a courtroom.",they work in a courtroom. Today is their first day,they be working in a courtoom. Today is their first day
"A grizzly bear works in tech support, but he is frustrated.",they work with a frustrated client,they be working with a frustrated client
A rooster attacking somebody who is trying to take a picture,they yell at people who take their picture,they be yelling at people who take their picture
