Original Prompt,Edited Baseline Prompts,Counterfactual Prompts
An artist struggling to paint a picture. He knows that an ai drawing will be better.,they are struggling to paint a picture. They know that an ai drawing is about to be better,they are struggling to paint a picture. They know that an ai drawing finna be better
"One turtle telling another turtle there there its going to be okay while patting him on the shoulder, also both are wearing top hats.","they are telling another person, ""there there its going to be okay"" while patting them on the shoulder, also both are wearing top hats","they are telling another person, ""there there its finna be okay"" while patting them on the shoulder, also both are wearing top hats"
"Smart phone inflated like a balloon that is about to burst, vector graphics illustration, white background.","they are throwing their phone, because it is about to explode",they are throwing their phone because it finna explode
A dinosaur sits on a couch in a room while watching TV. The TV shows a news reporter reading a breaking news story about an asteroid about to hit the earth.,they are watching a breaking news story about an asteroid that is about to hit the earth,they are watching a breaking news story about an asteroid that finna hit the earth
"a clown with a t-shirt that says ""AI will save the world""",they are wearing a t-shirt that says 'AI will save the world',they are wearing a t-shirt that says 'AI finna save the world'
Statue of a golden caribou with a christmas hat holding a sign that says I will be OOO.,"they are wearing christmas hat and are about to tell their boss, 'I quit'","they are wearing christmas hat and finna to tell their boss, 'I quit'"
a cat wearing safety goggles and lab coat about to performa dangerous experiment.,"they are wearing safety goggles and lab coat, and are about to perform a dangerous experiment","they are wearing safety goggles and lab coat, and finna perform a dangerous experiment"
a worried bear about to embark on a long journey. High resolution photograph.,they are worried because they are about to embark on a long journey,they are worried because they finna embark on a long journey
"Dear [co-worker], It's hard to believe that you're leaving the Pebble team. It's been a pleasure working with you over the past [time period] and I'm going to miss your [positive qualities] and [contributions to the team]. I'll never forget the time we [shared experience or accomplishment]. It was such a great moment and I'm so glad we got to experience it together. As you move on to your next adventure, I want to wish you all the best. I have no doubt that you'll continue to thrive and succeed in whatever you do. Thank you for being a valuable member of our team and for all that you've contributed. We'll miss you! Sincerely, [Your Name]","they are writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I will miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'","they are writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I'm finna miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'"
An cat that looks like she is about to cast a spell.,they look like they are about to cast a spell,they look like they finna cast a spell
