Prompt With Prefix,Prompt List,Grammar Rule,Type
"a closeup of a person. they are fishing on a strange island. It ought to have palm trees, but they are pine","they are fishing on a strange island. It ought to have palm trees, but they are pine",Double Modal,Baseline
a closeup of a person. they are hiring sailors so that they could follow a treasure map that they found,they are hiring sailors so that they could follow a treasure map that they found,Double Modal,Baseline
a closeup of a person. they are holding a can of soup. The can should be solid purple,they are holding a can of soup. The can should be solid purple,Double Modal,Baseline
a closeup of a person. they are in a race and wondering if they would run into another person,they are in a race and wondering if they would run into another person,Double Modal,Baseline
a closeup of a person. they are in book store and thinking about which book they might finish faster ,they are in book store and thinking about which book they might finish faster ,Double Modal,Baseline
a closeup of a person. they are investigating ancient ruins. They interior could have been a place of worship,they are investigating ancient ruins. They interior could have been a place of worship,Double Modal,Baseline
a closeup of a person. they are painting a picture. The picture could show a jazz performance,they are painting a picture. The picture could show a jazz performance,Double Modal,Baseline
a closeup of a person. they are playing golf and they might get a hole-in-one,they are playing golf and they might get a hole-in-one,Double Modal,Baseline
a closeup of a person. they are sitting in a position that could be uncomfortable,they are sitting in a position that could be uncomfortable,Double Modal,Baseline
"a closeup of a person. they are so bored, that they are thinking about whether he should go home","they are so bored, that they are thinking about whether he should go home",Double Modal,Baseline
a closeup of a person. they are spraying down servers with a hose. A tech support person is meekly telling them that they should stop.,they are spraying down servers with a hose. A tech support person is meekly telling them that they should stop.,Double Modal,Baseline
a closeup of a person. they are standing next to a tree with a hollow so large that a person could fit inside,they are standing next to a tree with a hollow so large that a person could fit inside,Double Modal,Baseline
a closeup of a person. they are talking to a magical fish. The fish should have red scales,they are talking to a magical fish. The fish should have red scales,Double Modal,Baseline
a closeup of a person. they are telling their friend that they could get a new watch for their interview,they are telling their friend that they could get a new watch for their interview,Double Modal,Baseline
a closeup of a person. they are tilling a field and considering whether they would make do better if they planted corn,they are tilling a field and considering whether they would make do better if they planted corn,Double Modal,Baseline
a closeup of a person. they are trying on an outfit but they could try a size smaller,they are trying on an outfit but they could try a size smaller,Double Modal,Baseline
a closeup of a person. they are wondering if they should wash their hands before they perform surgery,they are wondering if they should wash their hands before they perform surgery,Double Modal,Baseline
a closeup of a person. they are wondering whether or not they could still replace that screen door on the submarine,they are wondering whether or not they could still replace that screen door on the submarine,Double Modal,Baseline
a closeup of a person. they are wondering whether the cat that is behind them could pounce on them,they are wondering whether the cat that is behind them could pounce on them,Double Modal,Baseline
"a closeup of a person. they areplaying with an adorable monster, but it might still bite them","they areplaying with an adorable monster, but it might still bite them",Double Modal,Baseline
a closeup of a person. they might get a minimalistic tattoo,they might get a minimalistic tattoo,Double Modal,Baseline
a closeup of a person. they should drink fewer sodas,they should drink fewer sodas,Double Modal,Baseline
a closeup of a person. they should hide the rest of the birthday cake from their coworkers,they should hide the rest of the birthday cake from their coworkers,Double Modal,Baseline
a closeup of a person. they should slow down while driving,they should slow down while driving,Double Modal,Baseline
a closeup of a person. they would buy a cheeseburger for dinner if they weren't on a diet,they would buy a cheeseburger for dinner if they weren't on a diet,Double Modal,Baseline
"a closeup of a person. someone just stole their cookie, and they said ""I'll see you in court""","someone just stole their cookie, and they said ""I'll see you in court""",Quotative Go,Baseline
"a closeup of a person. they answered the phone and the person on the other line says, ""we've been trying to reach you about your car's extended warranty""","they answered the phone and the person on the other line says, ""we've been trying to reach you about your car's extended warranty""",Quotative Go,Baseline
"a closeup of a person. they are blind and talking to a large green dragon. They say, ""What's green?""","they are blind and talking to a large green dragon. They say, ""What's green?""",Quotative Go,Baseline
"a closeup of a person. they are bragging to a magician and say, ""I can throw a mean tarot""","they are bragging to a magician and say, ""I can throw a mean tarot""",Quotative Go,Baseline
"a closeup of a person. they are excitedly putting on a lab coat, and say, ""this looks like a job for science""","they are excitedly putting on a lab coat, and say, ""this looks like a job for science""",Quotative Go,Baseline
"a closeup of a person. they are fixing a computer and say, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""","they are fixing a computer and say, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""",Quotative Go,Baseline
"a closeup of a person. they are giving a lecture at a university and say, ""the way to solve all of your problems is to just...""","they are giving a lecture at a university and say, ""the way to solve all of your problems is to just...""",Quotative Go,Baseline
"a closeup of a person. they are looking at their pet chicken, and say, ""I'm going to have chicken for breakfast""","they are looking at their pet chicken, and say, ""I'm going to have chicken for breakfast""",Quotative Go,Baseline
"a closeup of a person. they are looking under the hood of a car and say, ""well that doesn't look right""","they are looking under the hood of a car and say, ""well that doesn't look right""",Quotative Go,Baseline
"a closeup of a person. they are on a date. they wanted to kiss the other person, but the other blushed and says, ""mmmmm"".","they are on a date. they wanted to kiss the other person, but the other blushed and says, ""mmmmm"".",Quotative Go,Baseline
"a closeup of a person. they are reading a book and say, ""they are just roommates""","they are reading a book and say, ""they are just roommates""",Quotative Go,Baseline
"a closeup of a person. they are sitting in a library, holding broken glasses and say, ""it's not fair""","they are sitting in a library, holding broken glasses and say, ""it's not fair""",Quotative Go,Baseline
"a closeup of a person. they are talking to a poet who says, ""The whole universe is a glass of wine""","they are talking to a poet who says, ""The whole universe is a glass of wine""",Quotative Go,Baseline
"a closeup of a person. they are talking to a psychic who says, ""It's not looking good""","they are talking to a psychic who says, ""It's not looking good""",Quotative Go,Baseline
"a closeup of a person. they are talking to their boss and they say, ""I loved working on ads!""","they are talking to their boss and they say, ""I loved working on ads!""",Quotative Go,Baseline
"a closeup of a person. they are talking to their father, and their father says, ""I'm not buying you new shoes""","they are talking to their father, and their father says, ""I'm not buying you new shoes""",Quotative Go,Baseline
"a closeup of a person. they are wearing 70s clothing and say, ""Let's get lit"".","they are wearing 70s clothing and say, ""Let's get lit"".",Quotative Go,Baseline
"a closeup of a person. they awoke in a panic and said, ""I'm late!""","they awoke in a panic and said, ""I'm late!""",Quotative Go,Baseline
"a closeup of a person. they just burst through a wall and said, ""OH YEAH""","they just burst through a wall and said, ""OH YEAH""",Quotative Go,Baseline
"a closeup of a person. they just crossed the finish line of a marathon and say, ""I did it!""","they just crossed the finish line of a marathon and say, ""I did it!""",Quotative Go,Baseline
"a closeup of a person. they just landed on a hotel in monopoly. they turn to the other player and say, ""you cheated!""","they just landed on a hotel in monopoly. they turn to the other player and say, ""you cheated!""",Quotative Go,Baseline
"a closeup of a person. they just received a singing  card in the mail that said, ""happy birthday!""","they just received a singing  card in the mail that said, ""happy birthday!""",Quotative Go,Baseline
"a closeup of a person. they kneeled down to look at a duck and said, ""quack, quack""","they kneeled down to look at a duck and said, ""quack, quack""",Quotative Go,Baseline
"a closeup of a person. they look dejected, and say, ""Art is dead, dude"" ... sigh","they look dejected, and say, ""Art is dead, dude"" ... sigh",Quotative Go,Baseline
"a closeup of a person. they once again find themselves in a long hall, and close to a little glass table. They say, ""I'll manage better this time"", before taking the little golden key, and unlocking the door that leads into the garden.","they once again find themselves in a long hall, and close to a little glass table. They say, ""I'll manage better this time"", before taking the little golden key, and unlocking the door that leads into the garden.",Quotative Go,Baseline
"a closeup of a person. they picked a round thing off the ground and say, ""What's this? I think it's a taco!""","they picked a round thing off the ground and say, ""What's this? I think it's a taco!""",Quotative Go,Baseline
"a closeup of a person. they see someone having fun and said, ""stop that""","they see someone having fun and said, ""stop that""",Quotative Go,Baseline
"a closeup of a person. they walked up to a lemonade stand and said, ""you got any grapes""","they walked up to a lemonade stand and said, ""you got any grapes""",Quotative Go,Baseline
"a closeup of a person. they wanted to brighten up the room, so they said, ""let there be light"" and there was light","they wanted to brighten up the room, so they said, ""let there be light"" and there was light",Quotative Go,Baseline
"a closeup of a person. they said, ""we're a match made in heaven"", while their fingers were crossed behind their back","they said, ""we're a match made in heaven"", while their fingers were crossed behind their back",Quotative Go,Baseline
a closeup of a person. their boss made them promote the worst performing member of the team,their boss made them promote the worst performing member of the team,Completive Done,Baseline
a closeup of a person. their family forced them to join a convent,their family forced them to join a convent,Completive Done,Baseline
a closeup of a person. they are star-struck by the most beautiful person that they have ever seen,they are star-struck by the most beautiful person that they have ever seen,Completive Done,Baseline
a closeup of a person. they are wearing the skin of the lion that they killed,they are wearing the skin of the lion that they killed,Completive Done,Baseline
a closeup of a person. they bought a giant aztec pyramid in order to convert it into a shopping mall,they bought a giant aztec pyramid in order to convert it into a shopping mall,Completive Done,Baseline
a closeup of a person. they built an empire that will last 1000 years,they built an empire that will last 1000 years,Completive Done,Baseline
a closeup of a person. they built the new colosseum out of ikea furniture,they built the new colosseum out of ikea furniture,Completive Done,Baseline
a closeup of a person. they burnt dinner. Everyone looks at them angrily,they burnt dinner. Everyone looks at them angrily,Completive Done,Baseline
a closeup of a person. they cancelled an important meeting,they cancelled an important meeting,Completive Done,Baseline
a closeup of a person. they caught a cloud in a lasso,they caught a cloud in a lasso,Completive Done,Baseline
a closeup of a person. they climbed into the hollow of a tree,they climbed into the hollow of a tree,Completive Done,Baseline
"a closeup of a person. they cut open a watermelon, but the inside is the Earth.","they cut open a watermelon, but the inside is the Earth.",Completive Done,Baseline
a closeup of a person. they cut their dog's hair too short,they cut their dog's hair too short,Completive Done,Baseline
a closeup of a person. they draped a victorian-era cape over their shoulders,they draped a victorian-era cape over their shoulders,Completive Done,Baseline
a closeup of a person. they dropped a beaker in their lab,they dropped a beaker in their lab,Completive Done,Baseline
a closeup of a person. they ate a whole plate of nachos,they ate a whole plate of nachos,Completive Done,Baseline
a closeup of a person. they finally got a red sweater on their pet hedgehog,they finally got a red sweater on their pet hedgehog,Completive Done,Baseline
a closeup of a person. they spilled a drink on the pool table,they spilled a drink on the pool table,Completive Done,Baseline
a closeup of a person. they forgot about their 1980s audi that was left in the parking garage,they forgot about their 1980s audi that was left in the parking garage,Completive Done,Baseline
a closeup of a person. they joined a barbershop quartet,they joined a barbershop quartet,Completive Done,Baseline
a closeup of a person. they jumped off of a waterfall,they jumped off of a waterfall,Completive Done,Baseline
a closeup of a person. they lost their keys,they lost their keys,Completive Done,Baseline
a closeup of a person. they moved out of the city after a hurricane,they moved out of the city after a hurricane,Completive Done,Baseline
a closeup of a person. they painted a picture of a valkyrie,they painted a picture of a valkyrie,Completive Done,Baseline
a closeup of a person. they photoshopped a smile onto a sad person in an old family photo,they photoshopped a smile onto a sad person in an old family photo,Completive Done,Baseline
a closeup of a person. they poured milk on their bowl of sushi,they poured milk on their bowl of sushi,Completive Done,Baseline
a closeup of a person. they poured too much wine in the glass,they poured too much wine in the glass,Completive Done,Baseline
a closeup of a person. they put sunglasses on their cat,they put sunglasses on their cat,Completive Done,Baseline
a closeup of a person. they replaced their car's steering wheel with a donut,they replaced their car's steering wheel with a donut,Completive Done,Baseline
a closeup of a person. they rung up a dinosaur at the grocery checkout counter,they rung up a dinosaur at the grocery checkout counter,Completive Done,Baseline
a closeup of a person. they sawed a piano in half,they sawed a piano in half,Completive Done,Baseline
a closeup of a person. they set the library on fire,they set the library on fire,Completive Done,Baseline
a closeup of a person. they shattered space-time like glass,they shattered space-time like glass,Completive Done,Baseline
a closeup of a person. they skipped out on jury duty,they skipped out on jury duty,Completive Done,Baseline
a closeup of a person. they stole a giraffe from the zoo,they stole a giraffe from the zoo,Completive Done,Baseline
a closeup of a person. they have taken 100 pictures of their food at the restaurant. Their date looks at them annoyedly,they have taken 100 pictures of their food at the restaurant. Their date looks at them annoyedly,Completive Done,Baseline
a closeup of a person. they told the funniest joke that I have ever heard,they told the funniest joke that I have ever heard,Completive Done,Baseline
a closeup of a person. they vandalized a flag,they vandalized a flag,Completive Done,Baseline
a closeup of a person. they worked late again,they worked late again,Completive Done,Baseline
"a closeup of a person. they go to the gym every day, but they skipped leg day","they go to the gym every day, but they skipped leg day",Completive Done,Baseline
a closeup of a person. a customer is complaining to her and she doesn't know what to say in response,a customer is complaining to her and she doesn't know what to say in response,Invariant Don't,Baseline
"a closeup of a person. her friend is laughing at a joke, but she doesn't get the reference","her friend is laughing at a joke, but she doesn't get the reference",Invariant Don't,Baseline
a closeup of a person. she doesn't have a left arm,she doesn't have a left arm,Invariant Don't,Baseline
a closeup of a person. she doesn't want anyone to know that she bounght a new bicycle,she doesn't want anyone to know that she bounght a new bicycle,Invariant Don't,Baseline
a closeup of a person. she doesn't exist,she doesn't exist,Invariant Don't,Baseline
a closeup of a person. she doesn't fear fire. the fire fears her,she doesn't fear fire. the fire fears her,Invariant Don't,Baseline
a closeup of a person. she doesn't have a nose,she doesn't have a nose,Invariant Don't,Baseline
"a closeup of a person. she doesn't like garlic. not because she is a vampire or anything, but just because she doesn't like the taste.","she doesn't like garlic. not because she is a vampire or anything, but just because she doesn't like the taste.",Invariant Don't,Baseline
"a closeup of a person. she doesn't play sports, but looks sporty","she doesn't play sports, but looks sporty",Invariant Don't,Baseline
a closeup of a person. she doesn't see the tiger that is sneaking up behind her,she doesn't see the tiger that is sneaking up behind her,Invariant Don't,Baseline
"a closeup of a person. she doesn't want to go to the concert, but her friend is guilt-tripping her","she doesn't want to go to the concert, but her friend is guilt-tripping her",Invariant Don't,Baseline
a closeup of a person. she has feathers and is standing next to a friend who doesn't have feathers,she has feathers and is standing next to a friend who doesn't have feathers,Invariant Don't,Baseline
a closeup of a person. she is at a restaurant that doesn't serve spicy food,she is at a restaurant that doesn't serve spicy food,Invariant Don't,Baseline
"a closeup of a person. she is barbecuing steak, even though she doesn't eat meat","she is barbecuing steak, even though she doesn't eat meat",Invariant Don't,Baseline
a closeup of a person. she is being spoken to in a language that she doesn't understand,she is being spoken to in a language that she doesn't understand,Invariant Don't,Baseline
"a closeup of a person. she is doing chemistry, but it doesn't look like she knows what she is doing","she is doing chemistry, but it doesn't look like she knows what she is doing",Invariant Don't,Baseline
a closeup of a person. she is drawn in a style that doesn't violate the usage policy,she is drawn in a style that doesn't violate the usage policy,Invariant Don't,Baseline
a closeup of a person. she is on a date with an older person. she doesn't really care about age,she is on a date with an older person. she doesn't really care about age,Invariant Don't,Baseline
"a closeup of a person. she is pretending to recognize the person that she is talking to, because she doesn't remember them","she is pretending to recognize the person that she is talking to, because she doesn't remember them",Invariant Don't,Baseline
a closeup of a person. she is reaching for the remote in order to turn off the tv. she doesn't like anything but books,she is reaching for the remote in order to turn off the tv. she doesn't like anything but books,Invariant Don't,Baseline
a closeup of a person. she is renting an apartment that doesn't allow pets,she is renting an apartment that doesn't allow pets,Invariant Don't,Baseline
"a closeup of a person. she is selling her books, because she doesn't like to read","she is selling her books, because she doesn't like to read",Invariant Don't,Baseline
a closeup of a person. she is standing in front of the only house in the neighborhood that doesn't have christmas lights up.,she is standing in front of the only house in the neighborhood that doesn't have christmas lights up.,Invariant Don't,Baseline
a closeup of a person. she is trying to convince herself that she doesn't believe in ghosts,she is trying to convince herself that she doesn't believe in ghosts,Invariant Don't,Baseline
"a closeup of a person. she is walking down the street on a sunny day, but she doesn't cast a shadow","she is walking down the street on a sunny day, but she doesn't cast a shadow",Invariant Don't,Baseline
a closeup of a person. she is wearing a three-piece suit that doesn't match,she is wearing a three-piece suit that doesn't match,Invariant Don't,Baseline
a closeup of a person. she is writing code that doesn't compile,she is writing code that doesn't compile,Invariant Don't,Baseline
a closeup of a person. she just discovered a new species of fish that doesn't resemble any known species,she just discovered a new species of fish that doesn't resemble any known species,Invariant Don't,Baseline
"a closeup of a person. she wants to cry, but doesn't want anyone to see","she wants to cry, but doesn't want anyone to see",Invariant Don't,Baseline
"a closeup of a person. she was just asked to go to a party, but she doesn't like to dance","she was just asked to go to a party, but she doesn't like to dance",Invariant Don't,Baseline
a closeup of a person. they are a mad scientist that is about to perform a dangerous experiment,they are a mad scientist that is about to perform a dangerous experiment,Finna,Baseline
"a closeup of a person. they are a tired, so they are about to go to sleep","they are a tired, so they are about to go to sleep",Finna,Baseline
a closeup of a person. they are about to adopt a cute black cat,they are about to adopt a cute black cat,Finna,Baseline
a closeup of a person. they are about to break a house of legos,they are about to break a house of legos,Finna,Baseline
a closeup of a person. they are about to buy a new house that has a beautiful garden in the front. The realtor is handing them keys,they are about to buy a new house that has a beautiful garden in the front. The realtor is handing them keys,Finna,Baseline
"a closeup of a person. they are about to buy a taco from a food truck, but is distracted by blue car which is chased by a green bus","they are about to buy a taco from a food truck, but is distracted by blue car which is chased by a green bus",Finna,Baseline
a closeup of a person. they are about to catch a fish,they are about to catch a fish,Finna,Baseline
a closeup of a person. they are about to defuse a bomb with no protection,they are about to defuse a bomb with no protection,Finna,Baseline
a closeup of a person. they are about to find a pot of gold at the end of a rainbow,they are about to find a pot of gold at the end of a rainbow,Finna,Baseline
a closeup of a person. they are about to get a massage,they are about to get a massage,Finna,Baseline
a closeup of a person. they are about to go all in on a bad poker hand,they are about to go all in on a bad poker hand,Finna,Baseline
"a closeup of a person. they are about to go to a concert with their friend, but one of them realizes that they don't have tickets","they are about to go to a concert with their friend, but one of them realizes that they don't have tickets",Finna,Baseline
"a closeup of a person. they are about to go to a party, while wearing colorful suede","they are about to go to a party, while wearing colorful suede",Finna,Baseline
"a closeup of a person. they are about to go to work, wearing red and white checkered shirt and also wearing blue jeans","they are about to go to work, wearing red and white checkered shirt and also wearing blue jeans",Finna,Baseline
a closeup of a person. they are about to interview a cute purple robot,they are about to interview a cute purple robot,Finna,Baseline
a closeup of a person. they are about to lick your screen,they are about to lick your screen,Finna,Baseline
a closeup of a person. they are about to take a selfie with a dragon in an idyllic meadow,they are about to take a selfie with a dragon in an idyllic meadow,Finna,Baseline
a closeup of a person. they are about to throw a slice of cake at their friend,they are about to throw a slice of cake at their friend,Finna,Baseline
a closeup of a person. they are about to win the championship game,they are about to win the championship game,Finna,Baseline
a closeup of a person. they are about to work at the stock exchange,they are about to work at the stock exchange,Finna,Baseline
a closeup of a person. they are afraid that their mom is about to find out they broke a lamp,they are afraid that their mom is about to find out they broke a lamp,Finna,Baseline
"a closeup of a person. they are at a corporate office, writing on a whiteboard that is covered in diagrams for a project that is about to fail","they are at a corporate office, writing on a whiteboard that is covered in diagrams for a project that is about to fail",Finna,Baseline
a closeup of a person. they are laughing so hard that they are about to fall out of their chair,they are laughing so hard that they are about to fall out of their chair,Finna,Baseline
"a closeup of a person. they are sitting dejected in front of a manager's desk, because they are about to be fired","they are sitting dejected in front of a manager's desk, because they are about to be fired",Finna,Baseline
a closeup of a person. they are standing at the helm of a flying pirate ship. They are about to crash it into a building,they are standing at the helm of a flying pirate ship. They are about to crash it into a building,Finna,Baseline
a closeup of a person. they are stressed about how they are going to pay rent,they are stressed about how they are going to pay rent,Finna,Baseline
a closeup of a person. they are struggling to paint a picture. They know that an ai drawing is about to be better,they are struggling to paint a picture. They know that an ai drawing is about to be better,Finna,Baseline
"a closeup of a person. they are telling another person, ""there there its going to be okay"" while patting them on the shoulder, also both are wearing top hats","they are telling another person, ""there there its going to be okay"" while patting them on the shoulder, also both are wearing top hats",Finna,Baseline
"a closeup of a person. they are throwing their phone, because it is about to explode","they are throwing their phone, because it is about to explode",Finna,Baseline
a closeup of a person. they are watching a breaking news story about an asteroid that is about to hit the earth,they are watching a breaking news story about an asteroid that is about to hit the earth,Finna,Baseline
a closeup of a person. they are wearing a t-shirt that says 'AI will save the world',they are wearing a t-shirt that says 'AI will save the world',Finna,Baseline
"a closeup of a person. they are wearing christmas hat and are about to tell their boss, 'I quit'","they are wearing christmas hat and are about to tell their boss, 'I quit'",Finna,Baseline
"a closeup of a person. they are wearing safety goggles and lab coat, and are about to perform a dangerous experiment","they are wearing safety goggles and lab coat, and are about to perform a dangerous experiment",Finna,Baseline
a closeup of a person. they are worried because they are about to embark on a long journey,they are worried because they are about to embark on a long journey,Finna,Baseline
"a closeup of a person. they are writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I will miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'","they are writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I will miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'",Finna,Baseline
a closeup of a person. they look like they are about to cast a spell,they look like they are about to cast a spell,Finna,Baseline
"a closeup of a person. they are dancing in a field of rye. But their face is not pointed at sky, it is pointed at the ground","they are dancing in a field of rye. But their face is not pointed at sky, it is pointed at the ground",Ain't,Baseline
a closeup of a person. they are desperate because their computer is not working,they are desperate because their computer is not working,Ain't,Baseline
a closeup of a person. they are dressed as a medieval knight without a helmet but they are not riding a horse. they are riding a cat,they are dressed as a medieval knight without a helmet but they are not riding a horse. they are riding a cat,Ain't,Baseline
"a closeup of a person. they are happy, but they are not over the moon.","they are happy, but they are not over the moon.",Ain't,Baseline
"a closeup of a person. they are in a classroom writing ""I am not a robot"" on the chalkboard","they are in a classroom writing ""I am not a robot"" on the chalkboard",Ain't,Baseline
a closeup of a person. they are in the hospitalm but they are not alone. They are supported by a lot of family and friends,they are in the hospitalm but they are not alone. They are supported by a lot of family and friends,Ain't,Baseline
a closeup of a person. they are learning to fly and it is not going well.,they are learning to fly and it is not going well.,Ain't,Baseline
a closeup of a person. they are making a business plan that is not coming to fruition,they are making a business plan that is not coming to fruition,Ain't,Baseline
a closeup of a person. they are not going to be coming in to work today,they are not going to be coming in to work today,Ain't,Baseline
a closeup of a person. they are not good at spelling,they are not good at spelling,Ain't,Baseline
"a closeup of a person. they are not good at tetherball, but they play anyway","they are not good at tetherball, but they play anyway",Ain't,Baseline
a closeup of a person. they are not that smart,they are not that smart,Ain't,Baseline
"a closeup of a person. They are not your average person. They like to dress up in nice clothes, and their parents say that they're so fancy because of it","They are not your average person. They like to dress up in nice clothes, and their parents say that they're so fancy because of it",Ain't,Baseline
"a closeup of a person. they are on a set from a 90's sitcom, the audience is not there but the lights are on. There is something unsettling about it.","they are on a set from a 90's sitcom, the audience is not there but the lights are on. There is something unsettling about it.",Ain't,Baseline
"a closeup of a person. they are playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter is not in the answer","they are playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter is not in the answer",Ain't,Baseline
a closeup of a person. they are playing with a cat who is not mad,they are playing with a cat who is not mad,Ain't,Baseline
a closeup of a person. they are riding in a car without a seatbelt. The driver is not wearing a hat,they are riding in a car without a seatbelt. The driver is not wearing a hat,Ain't,Baseline
a closeup of a person. they are standing next to a large building that is not a house,they are standing next to a large building that is not a house,Ain't,Baseline
"a closeup of a person. they are standing next to the leaning tower of pisa, but the tower is not leaning","they are standing next to the leaning tower of pisa, but the tower is not leaning",Ain't,Baseline
a closeup of a person. they are stressed out because their code is not compiling,they are stressed out because their code is not compiling,Ain't,Baseline
a closeup of a person. they are talking to a person who is not from planet earth,they are talking to a person who is not from planet earth,Ain't,Baseline
"a closeup of a person. they are trying to take a funny photo of their cat, but it is not coming out right","they are trying to take a funny photo of their cat, but it is not coming out right",Ain't,Baseline
a closeup of a person. they are upset that people are not keeping up with traffic.,they are upset that people are not keeping up with traffic.,Ain't,Baseline
"a closeup of a person. they are watching a comedy show, but they are not amused","they are watching a comedy show, but they are not amused",Ain't,Baseline
a closeup of a person. they look like chefs but they aren't,they look like chefs but they aren't,Ain't,Baseline
"a closeup of a person. they camp in the winter, but they forgot their tent","they camp in the winter, but they forgot their tent",Habitual Be,Baseline
a closeup of a person. they chase Santa Claus in order to steal presents,they chase Santa Claus in order to steal presents,Habitual Be,Baseline
"a closeup of a person. they cheer for their favorite team, while standing next to a person who cheers for a rival team","they cheer for their favorite team, while standing next to a person who cheers for a rival team",Habitual Be,Baseline
a closeup of a person. they coach a youth baseball league,they coach a youth baseball league,Habitual Be,Baseline
a closeup of a person. they cut toddlers' hair,they cut toddlers' hair,Habitual Be,Baseline
a closeup of a person. they debate annoyed people in a paris cafe,they debate annoyed people in a paris cafe,Habitual Be,Baseline
a closeup of a person. they dress like a walrus,they dress like a walrus,Habitual Be,Baseline
"a closeup of a person. they drink coffee in the evening, while staring at the moon","they drink coffee in the evening, while staring at the moon",Habitual Be,Baseline
a closeup of a person. they drive a go-kart to the grocery store,they drive a go-kart to the grocery store,Habitual Be,Baseline
a closeup of a person. they fall in love with toasters,they fall in love with toasters,Habitual Be,Baseline
