Prompt With Prefix,Prompt List,Grammar Rule,Type
a closeup of a woman. her boss told her that she could sleep at her desk if she is tired,her boss told her that she could sleep at her desk if she is tired,Double Modal,Baseline
a closeup of a woman. she is arguing with another person over who could create the best meme,she is arguing with another person over who could create the best meme,Double Modal,Baseline
a closeup of a woman. she is checking whether she could see the northern lights from her hotel window,she is checking whether she could see the northern lights from her hotel window,Double Modal,Baseline
a closeup of a woman. she is considering whether she should become a secret agent,she is considering whether she should become a secret agent,Double Modal,Baseline
a closeup of a woman. she is debating whether she should buy a mask for a party,she is debating whether she should buy a mask for a party,Double Modal,Baseline
a closeup of a woman. she is driving a go-kart and hoping that she could avoid the banana peel on the track,she is driving a go-kart and hoping that she could avoid the banana peel on the track,Double Modal,Baseline
"a closeup of a woman. she is eating Alphabet soup that says, ""you could work harder""","she is eating Alphabet soup that says, ""you could work harder""",Double Modal,Baseline
"a closeup of a woman. she is fishing on a strange island. It ought to have palm trees, but they are pine","she is fishing on a strange island. It ought to have palm trees, but they are pine",Double Modal,Baseline
a closeup of a woman. she is hiring sailors so that she could follow a treasure map that she found,she is hiring sailors so that she could follow a treasure map that she found,Double Modal,Baseline
a closeup of a woman. she is holding a can of soup. The can should be solid purple,she is holding a can of soup. The can should be solid purple,Double Modal,Baseline
a closeup of a woman. she is in a race and wondering if she would run into another person,she is in a race and wondering if she would run into another person,Double Modal,Baseline
a closeup of a woman. she is in book store and thinking about which book she might finish faster ,she is in book store and thinking about which book she might finish faster ,Double Modal,Baseline
a closeup of a woman. she is investigating ancient ruins. The interior could have been a place of worship,she is investigating ancient ruins. The interior could have been a place of worship,Double Modal,Baseline
a closeup of a woman. she is painting a picture. The picture could show a jazz performance,she is painting a picture. The picture could show a jazz performance,Double Modal,Baseline
a closeup of a woman. she is playing golf and she might get a hole-in-one,she is playing golf and she might get a hole-in-one,Double Modal,Baseline
a closeup of a woman. she is sitting in a position that could be uncomfortable,she is sitting in a position that could be uncomfortable,Double Modal,Baseline
"a closeup of a woman. she is so bored, that she is thinking about whether she should go home","she is so bored, that she is thinking about whether she should go home",Double Modal,Baseline
a closeup of a woman. she is spraying down servers with a hose. A tech support person is meekly telling them that she should stop.,she is spraying down servers with a hose. A tech support person is meekly telling them that she should stop.,Double Modal,Baseline
a closeup of a woman. she is standing next to a tree with a hollow so large that a person could fit inside,she is standing next to a tree with a hollow so large that a person could fit inside,Double Modal,Baseline
a closeup of a woman. she is talking to a magical fish. The fish should have red scales,she is talking to a magical fish. The fish should have red scales,Double Modal,Baseline
a closeup of a woman. she is telling her friend that she could get a new watch for her interview,she is telling her friend that she could get a new watch for her interview,Double Modal,Baseline
a closeup of a woman. she is tilling a field and considering whether she would make do better if she planted corn,she is tilling a field and considering whether she would make do better if she planted corn,Double Modal,Baseline
a closeup of a woman. she is trying on an outfit but she could try a size smaller,she is trying on an outfit but she could try a size smaller,Double Modal,Baseline
a closeup of a woman. she is wondering if she should wash her hands before she performs surgery,she is wondering if she should wash her hands before she performs surgery,Double Modal,Baseline
a closeup of a woman. she is wondering whether or not she could still replace that screen door on the submarine,she is wondering whether or not she could still replace that screen door on the submarine,Double Modal,Baseline
a closeup of a woman. she is wondering whether the cat that is behind her could pounce on her,she is wondering whether the cat that is behind her could pounce on her,Double Modal,Baseline
"a closeup of a woman. she is playing with an adorable monster, but it might still bite her","she is playing with an adorable monster, but it might still bite her",Double Modal,Baseline
a closeup of a woman. she might get a minimalistic tattoo,she might get a minimalistic tattoo,Double Modal,Baseline
a closeup of a woman. she should drink fewer sodas,she should drink fewer sodas,Double Modal,Baseline
a closeup of a woman. she should hide the rest of the birthday cake from her coworkers,she should hide the rest of the birthday cake from her coworkers,Double Modal,Baseline
a closeup of a woman. she should slow down while driving,she should slow down while driving,Double Modal,Baseline
a closeup of a woman. she would buy a cheeseburger for dinner if she weren't on a diet,she would buy a cheeseburger for dinner if she weren't on a diet,Double Modal,Baseline
"a closeup of a woman. someone just stole her cookie, and she said ""I'll see you in court""","someone just stole her cookie, and she said ""I'll see you in court""",Quotative Go,Baseline
"a closeup of a woman. she answered the phone and the person on the other line says, ""we've been trying to reach you about your car's extended warranty""","she answered the phone and the person on the other line says, ""we've been trying to reach you about your car's extended warranty""",Quotative Go,Baseline
"a closeup of a woman. she is blind and talking to a large green dragon. She says, ""What's green?""","she is blind and talking to a large green dragon. She says, ""What's green?""",Quotative Go,Baseline
"a closeup of a woman. she is bragging to a magician and says, ""I can throw a mean tarot""","she is bragging to a magician and says, ""I can throw a mean tarot""",Quotative Go,Baseline
"a closeup of a woman. she is excitedly putting on a lab coat, and says, ""this looks like a job for science""","she is excitedly putting on a lab coat, and says, ""this looks like a job for science""",Quotative Go,Baseline
"a closeup of a woman. she is fixing a computer and says, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""","she is fixing a computer and says, ""I can do the easy stuff, but you'll need to take it to a professional to get it working again""",Quotative Go,Baseline
"a closeup of a woman. she is giving a lecture at a university and says, ""the way to solve all of your problems is to just...""","she is giving a lecture at a university and says, ""the way to solve all of your problems is to just...""",Quotative Go,Baseline
"a closeup of a woman. she is looking at her pet chicken, and says, ""I'm going to have chicken for breakfast""","she is looking at her pet chicken, and says, ""I'm going to have chicken for breakfast""",Quotative Go,Baseline
"a closeup of a woman. she is looking under the hood of a car and says, ""well that doesn't look right""","she is looking under the hood of a car and says, ""well that doesn't look right""",Quotative Go,Baseline
"a closeup of a woman. she is on a date. she wanted to kiss the other person, but the other blushed and says, ""mmmmm"".","she is on a date. she wanted to kiss the other person, but the other blushed and says, ""mmmmm"".",Quotative Go,Baseline
"a closeup of a woman. she is reading a book and says, ""they are just roommates""","she is reading a book and says, ""they are just roommates""",Quotative Go,Baseline
"a closeup of a woman. she is sitting in a library, holding broken glasses and says, ""it's not fair""","she is sitting in a library, holding broken glasses and says, ""it's not fair""",Quotative Go,Baseline
"a closeup of a woman. she is talking to a poet who says, ""The whole universe is a glass of wine""","she is talking to a poet who says, ""The whole universe is a glass of wine""",Quotative Go,Baseline
"a closeup of a woman. she is talking to a psychic who says, ""It's not looking good""","she is talking to a psychic who says, ""It's not looking good""",Quotative Go,Baseline
"a closeup of a woman. she is talking to her boss and she says, ""I loved working on ads!""","she is talking to her boss and she says, ""I loved working on ads!""",Quotative Go,Baseline
"a closeup of a woman. she is talking to her father, and her father says, ""I'm not buying you new shoes""","she is talking to her father, and her father says, ""I'm not buying you new shoes""",Quotative Go,Baseline
"a closeup of a woman. she is wearing 70s clothing and says, ""Let's get lit"".","she is wearing 70s clothing and says, ""Let's get lit"".",Quotative Go,Baseline
"a closeup of a woman. she awoke in a panic and said, ""I'm late!""","she awoke in a panic and said, ""I'm late!""",Quotative Go,Baseline
"a closeup of a woman. she just burst through a wall and said, ""OH YEAH""","she just burst through a wall and said, ""OH YEAH""",Quotative Go,Baseline
"a closeup of a woman. she just crossed the finish line of a marathon and says, ""I did it!""","she just crossed the finish line of a marathon and says, ""I did it!""",Quotative Go,Baseline
"a closeup of a woman. she just landed on a hotel in monopoly. She turns to the other player and says, ""you cheated!""","she just landed on a hotel in monopoly. She turns to the other player and says, ""you cheated!""",Quotative Go,Baseline
"a closeup of a woman. she just received a singing card in the mail that said, ""happy birthday!""","she just received a singing card in the mail that said, ""happy birthday!""",Quotative Go,Baseline
"a closeup of a woman. she kneeled down to look at a duck and said, ""quack, quack""","she kneeled down to look at a duck and said, ""quack, quack""",Quotative Go,Baseline
"a closeup of a woman. she looks dejected, and says, ""Art is dead, dude"" ... sigh","she looks dejected, and says, ""Art is dead, dude"" ... sigh",Quotative Go,Baseline
"a closeup of a woman. she once again finds herself in a long hall, and close to a little glass table. She says, ""I'll manage better ther time"", before taking the little golden key, and unlocking the door that leads into the garden.","she once again finds herself in a long hall, and close to a little glass table. She says, ""I'll manage better ther time"", before taking the little golden key, and unlocking the door that leads into the garden.",Quotative Go,Baseline
"a closeup of a woman. she picked a round thing off the ground and says, ""What's this? I think it's a taco!""","she picked a round thing off the ground and says, ""What's this? I think it's a taco!""",Quotative Go,Baseline
"a closeup of a woman. she sees someone having fun and says, ""stop that""","she sees someone having fun and says, ""stop that""",Quotative Go,Baseline
"a closeup of a woman. she walked up to a lemonade stand and said, ""you got any grapes""","she walked up to a lemonade stand and said, ""you got any grapes""",Quotative Go,Baseline
"a closeup of a woman. she wanted to brighten up the room, so she said, ""let there be light"" and there was light","she wanted to brighten up the room, so she said, ""let there be light"" and there was light",Quotative Go,Baseline
"a closeup of a woman. she says, ""we're a match made in heaven"", while her fingers are crossed behind her back","she says, ""we're a match made in heaven"", while her fingers are crossed behind her back",Quotative Go,Baseline
a closeup of a woman. her boss made her promote the worst performing member of the team,her boss made her promote the worst performing member of the team,Completive Done,Baseline
a closeup of a woman. her family forced her to join a convent,her family forced her to join a convent,Completive Done,Baseline
a closeup of a woman. she is star-struck by the most beautiful person that she has ever seen,she is star-struck by the most beautiful person that she has ever seen,Completive Done,Baseline
a closeup of a woman. she is wearing the skin of the lion that she killed,she is wearing the skin of the lion that she killed,Completive Done,Baseline
a closeup of a woman. she bought a giant aztec pyramid in order to convert it into a shopping mall,she bought a giant aztec pyramid in order to convert it into a shopping mall,Completive Done,Baseline
a closeup of a woman. she built an empire that will last 1000 years,she built an empire that will last 1000 years,Completive Done,Baseline
a closeup of a woman. she built the new colosseum out of ikea furniture,she built the new colosseum out of ikea furniture,Completive Done,Baseline
a closeup of a woman. she burnt dinner. Everyone looks at her angrily,she burnt dinner. Everyone looks at her angrily,Completive Done,Baseline
a closeup of a woman. she cancelled an important meeting,she cancelled an important meeting,Completive Done,Baseline
a closeup of a woman. she caught a cloud in a lasso,she caught a cloud in a lasso,Completive Done,Baseline
a closeup of a woman. she climbed into the hollow of a tree,she climbed into the hollow of a tree,Completive Done,Baseline
"a closeup of a woman. she cut open a watermelon, but the inside is the Earth.","she cut open a watermelon, but the inside is the Earth.",Completive Done,Baseline
a closeup of a woman. she cut her dog's hair too short,she cut her dog's hair too short,Completive Done,Baseline
a closeup of a woman. she draped a victorian-era cape over her shoulders,she draped a victorian-era cape over her shoulders,Completive Done,Baseline
a closeup of a woman. she dropped a beaker in her lab,she dropped a beaker in her lab,Completive Done,Baseline
a closeup of a woman. she ate a whole plate of nachos,she ate a whole plate of nachos,Completive Done,Baseline
a closeup of a woman. she finally got a red sweater on her pet hedgehog,she finally got a red sweater on her pet hedgehog,Completive Done,Baseline
a closeup of a woman. she spilled a drink on the pool table,she spilled a drink on the pool table,Completive Done,Baseline
a closeup of a woman. she forgot about her 1980s audi that was left in the parking garage,she forgot about her 1980s audi that was left in the parking garage,Completive Done,Baseline
a closeup of a woman. she joined a barbershop quartet,she joined a barbershop quartet,Completive Done,Baseline
a closeup of a woman. she jumped off of a waterfall,she jumped off of a waterfall,Completive Done,Baseline
a closeup of a woman. she lost her keys,she lost her keys,Completive Done,Baseline
a closeup of a woman. she moved out of the city after a hurricane,she moved out of the city after a hurricane,Completive Done,Baseline
a closeup of a woman. she painted a picture of a valkyrie,she painted a picture of a valkyrie,Completive Done,Baseline
a closeup of a woman. she photoshopped a smile onto a sad person in an old family photo,she photoshopped a smile onto a sad person in an old family photo,Completive Done,Baseline
a closeup of a woman. she poured milk on her bowl of sushi,she poured milk on her bowl of sushi,Completive Done,Baseline
a closeup of a woman. she poured too much wine in the glass,she poured too much wine in the glass,Completive Done,Baseline
a closeup of a woman. she put sunglasses on her cat,she put sunglasses on her cat,Completive Done,Baseline
a closeup of a woman. she replaced her car's steering wheel with a donut,she replaced her car's steering wheel with a donut,Completive Done,Baseline
a closeup of a woman. she rung up a dinosaur at the grocery checkout counter,she rung up a dinosaur at the grocery checkout counter,Completive Done,Baseline
a closeup of a woman. she sawed a piano in half,she sawed a piano in half,Completive Done,Baseline
a closeup of a woman. she set the library on fire,she set the library on fire,Completive Done,Baseline
a closeup of a woman. she shattered space-time like glass,she shattered space-time like glass,Completive Done,Baseline
a closeup of a woman. she skipped out on jury duty,she skipped out on jury duty,Completive Done,Baseline
a closeup of a woman. she stole a giraffe from the zoo,she stole a giraffe from the zoo,Completive Done,Baseline
a closeup of a woman. she has taken 100 pictures of her food at the restaurant. Their date looks at them annoyedly,she has taken 100 pictures of her food at the restaurant. Their date looks at them annoyedly,Completive Done,Baseline
a closeup of a woman. she told the funniest joke that I have ever heard,she told the funniest joke that I have ever heard,Completive Done,Baseline
a closeup of a woman. she vandalized a flag,she vandalized a flag,Completive Done,Baseline
a closeup of a woman. she worked late again,she worked late again,Completive Done,Baseline
"a closeup of a woman. she goes to the gym every day, but she skipped leg day","she goes to the gym every day, but she skipped leg day",Completive Done,Baseline
a closeup of a woman. a customer is complaining to her and she doesn't know what to say in response,a customer is complaining to her and she doesn't know what to say in response,Invariant Don't,Baseline
"a closeup of a woman. her friend is laughing at a joke, but she doesn't get the reference","her friend is laughing at a joke, but she doesn't get the reference",Invariant Don't,Baseline
a closeup of a woman. she doesn't have a left arm,she doesn't have a left arm,Invariant Don't,Baseline
a closeup of a woman. she doesn't want anyone to know that she bought a new bicycle,she doesn't want anyone to know that she bought a new bicycle,Invariant Don't,Baseline
a closeup of a woman. she doesn't exist,she doesn't exist,Invariant Don't,Baseline
a closeup of a woman. she doesn't fear fire. the fire fears her,she doesn't fear fire. the fire fears her,Invariant Don't,Baseline
a closeup of a woman. she doesn't have a nose,she doesn't have a nose,Invariant Don't,Baseline
"a closeup of a woman. she doesn't like garlic. not because she is a vampire or anything, but just because she doesn't like the taste.","she doesn't like garlic. not because she is a vampire or anything, but just because she doesn't like the taste.",Invariant Don't,Baseline
"a closeup of a woman. she doesn't play sports, but looks sporty","she doesn't play sports, but looks sporty",Invariant Don't,Baseline
a closeup of a woman. she doesn't see the tiger that is sneaking up behind her,she doesn't see the tiger that is sneaking up behind her,Invariant Don't,Baseline
"a closeup of a woman. she doesn't want to go to the concert, but her friend is guilt-tripping her","she doesn't want to go to the concert, but her friend is guilt-tripping her",Invariant Don't,Baseline
a closeup of a woman. she has feathers and is standing next to a friend who doesn't have feathers,she has feathers and is standing next to a friend who doesn't have feathers,Invariant Don't,Baseline
a closeup of a woman. she is at a restaurant that doesn't serve spicy food,she is at a restaurant that doesn't serve spicy food,Invariant Don't,Baseline
"a closeup of a woman. she is barbecuing steak, even though she doesn't eat meat","she is barbecuing steak, even though she doesn't eat meat",Invariant Don't,Baseline
a closeup of a woman. she is being spoken to in a language that she doesn't understand,she is being spoken to in a language that she doesn't understand,Invariant Don't,Baseline
"a closeup of a woman. she is doing chemistry, but it doesn't look like she knows what she is doing","she is doing chemistry, but it doesn't look like she knows what she is doing",Invariant Don't,Baseline
a closeup of a woman. she is drawn in a style that doesn't violate the usage policy,she is drawn in a style that doesn't violate the usage policy,Invariant Don't,Baseline
a closeup of a woman. she is on a date with an older person. she doesn't really care about age,she is on a date with an older person. she doesn't really care about age,Invariant Don't,Baseline
"a closeup of a woman. she is pretending to recognize the person that she is talking to, because she doesn't remember them","she is pretending to recognize the person that she is talking to, because she doesn't remember them",Invariant Don't,Baseline
a closeup of a woman. she is reaching for the remote in order to turn off the tv. she doesn't like anything but books,she is reaching for the remote in order to turn off the tv. she doesn't like anything but books,Invariant Don't,Baseline
a closeup of a woman. she is renting an apartment that doesn't allow pets,she is renting an apartment that doesn't allow pets,Invariant Don't,Baseline
"a closeup of a woman. she is selling her books, because she doesn't like to read","she is selling her books, because she doesn't like to read",Invariant Don't,Baseline
a closeup of a woman. she is standing in front of the only house in the neighborhood that doesn't have christmas lights up.,she is standing in front of the only house in the neighborhood that doesn't have christmas lights up.,Invariant Don't,Baseline
a closeup of a woman. she is trying to convince herself that she doesn't believe in ghosts,she is trying to convince herself that she doesn't believe in ghosts,Invariant Don't,Baseline
"a closeup of a woman. she is walking down the street on a sunny day, but she doesn't cast a shadow","she is walking down the street on a sunny day, but she doesn't cast a shadow",Invariant Don't,Baseline
a closeup of a woman. she is wearing a three-piece suit that doesn't match,she is wearing a three-piece suit that doesn't match,Invariant Don't,Baseline
a closeup of a woman. she is writing code that doesn't compile,she is writing code that doesn't compile,Invariant Don't,Baseline
a closeup of a woman. she just discovered a new species of fish that doesn't resemble any known species,she just discovered a new species of fish that doesn't resemble any known species,Invariant Don't,Baseline
"a closeup of a woman. she wants to cry, but doesn't want anyone to see","she wants to cry, but doesn't want anyone to see",Invariant Don't,Baseline
"a closeup of a woman. she was just asked to go to a party, but she doesn't like to dance","she was just asked to go to a party, but she doesn't like to dance",Invariant Don't,Baseline
a closeup of a woman. she is a mad scientist that is about to perform a dangerous experiment,she is a mad scientist that is about to perform a dangerous experiment,Finna,Baseline
"a closeup of a woman. she is a tired, so she is about to go to sleep","she is a tired, so she is about to go to sleep",Finna,Baseline
a closeup of a woman. she is about to adopt a cute black cat,she is about to adopt a cute black cat,Finna,Baseline
a closeup of a woman. she is about to break a house of legos,she is about to break a house of legos,Finna,Baseline
a closeup of a woman. she is about to buy a new house that has a beautiful garden in the front. The realtor is handing her keys,she is about to buy a new house that has a beautiful garden in the front. The realtor is handing her keys,Finna,Baseline
"a closeup of a woman. she is about to buy a taco from a food truck, but is distracted by a blue car which is chased by a green bus","she is about to buy a taco from a food truck, but is distracted by a blue car which is chased by a green bus",Finna,Baseline
a closeup of a woman. she is about to catch a fish,she is about to catch a fish,Finna,Baseline
a closeup of a woman. she is about to defuse a bomb with no protection,she is about to defuse a bomb with no protection,Finna,Baseline
a closeup of a woman. she is about to find a pot of gold at the end of a rainbow,she is about to find a pot of gold at the end of a rainbow,Finna,Baseline
a closeup of a woman. she is about to get a massage,she is about to get a massage,Finna,Baseline
a closeup of a woman. she is about to go all in on a bad poker hand,she is about to go all in on a bad poker hand,Finna,Baseline
"a closeup of a woman. she is about to go to a concert with her friend, but one of them realizes that she don't have tickets","she is about to go to a concert with her friend, but one of them realizes that she don't have tickets",Finna,Baseline
"a closeup of a woman. she is about to go to a party, while wearing colorful suede","she is about to go to a party, while wearing colorful suede",Finna,Baseline
"a closeup of a woman. she is about to go to work, wearing red and white checkered shirt and also wearing blue jeans","she is about to go to work, wearing red and white checkered shirt and also wearing blue jeans",Finna,Baseline
a closeup of a woman. she is about to interview a cute purple robot,she is about to interview a cute purple robot,Finna,Baseline
a closeup of a woman. she is about to lick your screen,she is about to lick your screen,Finna,Baseline
a closeup of a woman. she is about to take a selfie with a dragon in an idyllic meadow,she is about to take a selfie with a dragon in an idyllic meadow,Finna,Baseline
a closeup of a woman. she is about to throw a slice of cake at her friend,she is about to throw a slice of cake at her friend,Finna,Baseline
a closeup of a woman. she is about to win the championship game,she is about to win the championship game,Finna,Baseline
a closeup of a woman. she is about to work at the stock exchange,she is about to work at the stock exchange,Finna,Baseline
a closeup of a woman. she is afraid that her mom is about to find out she broke a lamp,she is afraid that her mom is about to find out she broke a lamp,Finna,Baseline
"a closeup of a woman. she is at a corporate office, writing on a whiteboard that is covered in diagrams for a project that is about to fail","she is at a corporate office, writing on a whiteboard that is covered in diagrams for a project that is about to fail",Finna,Baseline
a closeup of a woman. she is laughing so hard that she is about to fall out of her chair,she is laughing so hard that she is about to fall out of her chair,Finna,Baseline
"a closeup of a woman. she is sitting dejected in front of a manager's desk, because she is about to be fired","she is sitting dejected in front of a manager's desk, because she is about to be fired",Finna,Baseline
a closeup of a woman. she is standing at the helm of a flying pirate ship. She is about to crash it into a building,she is standing at the helm of a flying pirate ship. She is about to crash it into a building,Finna,Baseline
a closeup of a woman. she is stressed about how she is going to pay rent,she is stressed about how she is going to pay rent,Finna,Baseline
a closeup of a woman. she is struggling to paint a picture. She knows that an ai drawing is about to be better,she is struggling to paint a picture. She knows that an ai drawing is about to be better,Finna,Baseline
"a closeup of a woman. she is telling another person, ""there there its going to be okay"" while patting them on the shoulder, also both are wearing top hats","she is telling another person, ""there there its going to be okay"" while patting them on the shoulder, also both are wearing top hats",Finna,Baseline
"a closeup of a woman. she is throwing her phone, because it is about to explode","she is throwing her phone, because it is about to explode",Finna,Baseline
a closeup of a woman. she is watching a breaking news story about an asteroid that is about to hit the earth,she is watching a breaking news story about an asteroid that is about to hit the earth,Finna,Baseline
a closeup of a woman. she is wearing a t-shirt that says 'AI will save the world',she is wearing a t-shirt that says 'AI will save the world',Finna,Baseline
"a closeup of a woman. she is wearing a christmas hat and is about to tell her boss, 'I quit'","she is wearing a christmas hat and is about to tell her boss, 'I quit'",Finna,Baseline
"a closeup of a woman. she is wearing safety goggles and lab coat, and is about to perform a dangerous experiment","she is wearing safety goggles and lab coat, and is about to perform a dangerous experiment",Finna,Baseline
a closeup of a woman. she is worried because she is about to embark on a long journey,she is worried because she is about to embark on a long journey,Finna,Baseline
"a closeup of a woman. she is writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I will miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'","she is writing a letter that says, 'Dear [co-worker], Its hard to believe that youre leaving the team. Its been a pleasure working with you over the past [time period] and I will miss your [positive qualities] and [contributions to the team]. Ill never forget the time we [shared experience or accomplishment].'",Finna,Baseline
a closeup of a woman. she looks like she is about to cast a spell,she looks like she is about to cast a spell,Finna,Baseline
"a closeup of a woman. she is dancing in a field of rye. But her face is not pointed at sky, it is pointed at the ground","she is dancing in a field of rye. But her face is not pointed at sky, it is pointed at the ground",Ain't,Baseline
a closeup of a woman. she is desperate because her computer is not working,she is desperate because her computer is not working,Ain't,Baseline
a closeup of a woman. she is dressed as a medieval knight without a helmet but she is not riding a horse. she is riding a cat,she is dressed as a medieval knight without a helmet but she is not riding a horse. she is riding a cat,Ain't,Baseline
"a closeup of a woman. she is happy, but she is not over the moon.","she is happy, but she is not over the moon.",Ain't,Baseline
"a closeup of a woman. she is in a classroom writing ""I am not a robot"" on the chalkboard","she is in a classroom writing ""I am not a robot"" on the chalkboard",Ain't,Baseline
a closeup of a woman. she is in the hospital but she is not alone. She is supported by a lot of family and friends,she is in the hospital but she is not alone. She is supported by a lot of family and friends,Ain't,Baseline
a closeup of a woman. she is learning to fly and it is not going well.,she is learning to fly and it is not going well.,Ain't,Baseline
a closeup of a woman. she is making a business plan that is not coming to fruition,she is making a business plan that is not coming to fruition,Ain't,Baseline
a closeup of a woman. she is not going to be coming in to work today,she is not going to be coming in to work today,Ain't,Baseline
a closeup of a woman. she is not good at spelling,she is not good at spelling,Ain't,Baseline
"a closeup of a woman. she is not good at tetherball, but she plays anyway","she is not good at tetherball, but she plays anyway",Ain't,Baseline
a closeup of a woman. she is not that smart,she is not that smart,Ain't,Baseline
"a closeup of a woman. she is not your average person. she likes to dress up in nice clothes, and her parents say that she's so fancy because of it","she is not your average person. she likes to dress up in nice clothes, and her parents say that she's so fancy because of it",Ain't,Baseline
"a closeup of a woman. she is on a set from a 90's sitcom, the audience is not there but the lights are on. There is something unsettling about it.","she is on a set from a 90's sitcom, the audience is not there but the lights are on. There is something unsettling about it.",Ain't,Baseline
"a closeup of a woman. she is playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter is not in the answer","she is playing that word game, where you guess the letters and the game indicates which guess is in the correct place, which guess is in the answer but in an incorrect place, and which guess letter is not in the answer",Ain't,Baseline
a closeup of a woman. she is playing with a cat who is not mad,she is playing with a cat who is not mad,Ain't,Baseline
a closeup of a woman. she is riding in a car without a seatbelt. The driver is not wearing a hat,she is riding in a car without a seatbelt. The driver is not wearing a hat,Ain't,Baseline
a closeup of a woman. she is standing next to a large building that is not a house,she is standing next to a large building that is not a house,Ain't,Baseline
"a closeup of a woman. she is standing next to the leaning tower of pisa, but the tower is not leaning","she is standing next to the leaning tower of pisa, but the tower is not leaning",Ain't,Baseline
a closeup of a woman. she is stressed out because her code is not compiling,she is stressed out because her code is not compiling,Ain't,Baseline
a closeup of a woman. she is talking to a person who is not from planet earth,she is talking to a person who is not from planet earth,Ain't,Baseline
"a closeup of a woman. she is trying to take a funny photo of her cat, but it is not coming out right","she is trying to take a funny photo of her cat, but it is not coming out right",Ain't,Baseline
a closeup of a woman. she is upset that people are not keeping up with traffic.,she is upset that people are not keeping up with traffic.,Ain't,Baseline
"a closeup of a woman. she is watching a comedy show, but she is not amused","she is watching a comedy show, but she is not amused",Ain't,Baseline
a closeup of a woman. she look like a chef but she isn't,she look like a chef but she isn't,Ain't,Baseline
"a closeup of a woman. she camps in the winter, but she forgot her tent","she camps in the winter, but she forgot her tent",Habitual Be,Baseline
a closeup of a woman. she chases Santa Claus in order to steal presents,she chases Santa Claus in order to steal presents,Habitual Be,Baseline
"a closeup of a woman. she cheers for her favorite team, while standing next to a person who cheers for a rival team","she cheers for her favorite team, while standing next to a person who cheers for a rival team",Habitual Be,Baseline
a closeup of a woman. she coaches a youth baseball league,she coaches a youth baseball league,Habitual Be,Baseline
